batch_order,slug,title,cms_input_at,publish_date_cairo,scheduled_time_cairo,status,blog_post_id,blog_url
19,ai-generated-page-indexing-checklist,AI-Generated Page Indexing Checklist,2026-08-13T09:00:00Z,2026-08-13,09:00,scheduled,9312,https://blog.freeindexer.com/ai-generated-page-indexing-checklist
20,landing-page-relaunch-indexing-plan,Landing Page Relaunch Indexing Plan,2026-08-13T15:00:00Z,2026-08-13,15:00,scheduled,9313,https://blog.freeindexer.com/landing-page-relaunch-indexing-plan
21,backlink-indexing-priority-list,Backlink Indexing Priority List: What To Submit First,2026-08-14T09:00:00Z,2026-08-14,09:00,scheduled,9314,https://blog.freeindexer.com/backlink-indexing-priority-list
22,guest-post-backlink-indexing-workflow,Guest Post Backlink Indexing Workflow,2026-08-14T15:00:00Z,2026-08-14,15:00,scheduled,9315,https://blog.freeindexer.com/guest-post-backlink-indexing-workflow
23,local-citation-indexing-workflow,Local Citation Indexing Workflow,2026-08-15T09:00:00Z,2026-08-15,09:00,scheduled,9316,https://blog.freeindexer.com/local-citation-indexing-workflow
24,digital-pr-backlink-discovery-workflow,Digital PR Backlink Discovery Workflow,2026-08-15T15:00:00Z,2026-08-15,15:00,scheduled,9317,https://blog.freeindexer.com/digital-pr-backlink-discovery-workflow
25,link-building-campaign-indexing-qa,Link Building Campaign Indexing QA,2026-08-16T09:00:00Z,2026-08-16,09:00,scheduled,9318,https://blog.freeindexer.com/link-building-campaign-indexing-qa
26,agency-indexing-sla-reporting,Agency Indexing SLA Reporting Without Overpromising,2026-08-16T15:00:00Z,2026-08-16,15:00,scheduled,9319,https://blog.freeindexer.com/agency-indexing-sla-reporting
27,bulk-url-submission-qa-checklist,Bulk URL Submission QA Checklist,2026-08-17T09:00:00Z,2026-08-17,09:00,scheduled,9320,https://blog.freeindexer.com/bulk-url-submission-qa-checklist
28,freeindexer-campaign-naming-and-tracking,FreeIndexer Campaign Naming And Tracking Workflow,2026-08-17T15:00:00Z,2026-08-17,15:00,scheduled,9321,https://blog.freeindexer.com/freeindexer-campaign-naming-and-tracking
29,google-indexing-tool-buyers-checklist,Google Indexing Tool Buyers Checklist,2026-08-18T09:00:00Z,2026-08-18,09:00,scheduled,9322,https://blog.freeindexer.com/google-indexing-tool-buyers-checklist
30,indexing-workflow-for-remote-seo-teams,Indexing Workflow For Remote SEO Teams,2026-08-18T15:00:00Z,2026-08-18,15:00,scheduled,9323,https://blog.freeindexer.com/indexing-workflow-for-remote-seo-teams
