slug,title,category,series,series_order,series_role,series_hub,previous_article,next_article,icp,funnel_stage,intent,status,quality_score,priority
manage-backlink-vendors-indexing-visibility,Managing Backlink Vendors Without Losing Indexing Visibility,backlinks,Backlinks And Discovery,5,cluster,backlink-discovery-and-indexing-guide,link-building-provider-checklist,track-backlink-discovery-for-seo-campaigns,SEO Agency,middle,informational-commercial,ready-for-publish,9.4,P2
niche-edit-backlink-indexing-qa,Niche Edit Backlink Indexing QA,backlinks,,,,,,,SEO Agency,middle,informational-commercial,ready-for-publish,9.4,P2
press-release-backlink-discovery-workflow,Press Release Backlink Discovery Workflow,backlinks,,,,,,,SEO Agency,middle,informational-commercial,ready-for-publish,9.4,P2
tier-two-link-reporting-rules,Tier Two Link Reporting Rules Without Overclaiming,backlinks,,,,,,,SEO Agency,middle,informational-commercial,ready-for-publish,9.4,P2
tiered-link-indexing-risks,Tiered Link Indexing Risks And Safer Alternatives,backlinks,,,,,,,SEO Operator,middle,informational,ready-for-publish,9.4,P2
track-backlink-discovery-for-seo-campaigns,Track Backlink Discovery For SEO Campaigns,backlinks,Backlinks And Discovery,6,cluster,backlink-discovery-and-indexing-guide,manage-backlink-vendors-indexing-visibility,backlink-reporting-template-for-agencies,SEO Agency,middle,informational-commercial,ready-for-publish,9.3,P2
batch-url-submission-workflow,Batch URL Submission Workflow,bulk-seo-operations,,,,,,,Programmatic SEO Builder,middle,informational-commercial,ready-for-publish,,P2
bulk-indexing-monitoring-workflow,Bulk Indexing Monitoring Workflow For SEO Teams,bulk-seo-operations,,,,,,,SEO Operator,middle,informational-commercial,ready-for-publish,9.4,P2
bulk-url-operations-workflow,Bulk URL Operations Workflow For SEO Teams,bulk-seo-operations,,,,,,,SEO Operator,middle,informational-commercial,ready-for-publish,,P2
bulk-url-prioritization-matrix,Bulk URL Prioritization Matrix For SEO Teams,bulk-seo-operations,,,,,,,SEO Operator,middle,informational-commercial,ready-for-publish,9.3,P2
bulk-url-submission-qa-checklist,Bulk URL Submission QA Checklist,bulk-seo-operations,,,,,,,SEO Operator,middle,informational-commercial,ready-for-publish,9.4,P2
campaign-checklist-for-repeatable-seo,Campaign Checklist For Repeatable SEO,bulk-seo-operations,Digital Marketing Operations,6,cluster,digital-marketing-operations-workflow,vendor-management-workflow-for-seo-campaigns,client-reporting-workflow-for-seo-agencies,Growth Operator,middle,informational-commercial,ready-for-publish,9.3,P2
daily-indexing-points-planning,Daily Indexing Capacity Planning For SEO Workflows,bulk-seo-operations,,,,,,,SEO Agency,middle,informational-commercial,ready-for-publish,,P2
how-to-manage-seo-software-without-losing-quality,How To Manage SEO Software Without Losing Quality,bulk-seo-operations,SEO Software And Automation Tools,5,cluster,seo-software-and-automation-tools,best-seo-automation-tools-for-agencies,seo-automation-vs-managed-seo-services,SEO Operator,middle,informational-commercial,ready-for-publish,9.3,P2
how-to-track-seo-campaign-deliverables,How To Track SEO Campaign Deliverables,bulk-seo-operations,SEO Campaign Services And Provider Workflows,4,cluster,seo-campaign-services-for-small-websites,how-to-plan-an-seo-campaign-for-a-new-website,how-to-verify-seo-campaign-results,SEO Agency,middle,informational-commercial,ready-for-publish,9.3,P2
saas-website-seo-indexing-workflow,SaaS Website SEO Indexing Workflow,bulk-seo-operations,Platform SEO Playbooks,9,cluster,platform-seo-playbooks,webflow-seo-indexing-guide,documentation-site-indexing-workflow,SaaS Or Product Team,middle,informational-commercial,ready-for-publish,9.3,P2
url-indexing-campaign-setup,How To Set Up A URL Indexing Campaign,bulk-seo-operations,,,,,,,SEO Agency,middle,informational-commercial,ready-for-publish,9.4,P2
url-inventory-management-for-seo-teams,URL Inventory Management For SEO Teams,bulk-seo-operations,Technical SEO For Operators,8,cluster,technical-seo-for-operators,internal-linking-system-for-large-sites,,SEO Agency,middle,informational-commercial,ready-for-publish,9.3,P2
free-url-indexer,Free URL Indexer: When To Use One And What To Expect,indexing-education,,,,,,,Website Owner,middle,commercial investigation,ready-for-publish,,P2
backlink-indexing-tool-vs-seo-provider,Backlink Indexing Tool vs SEO Provider: Which Workflow Do You Need?,comparisons,,,,,,,SEO Agency,bottom,commercial investigation,ready-for-publish,9.4,P2
backlink-tools-vs-indexing-tools,Backlink Tools vs Indexing Tools,comparisons,Tools Providers And Workflow Comparisons,5,cluster,tools-providers-and-workflow-comparisons,google-search-console-vs-indexing-tool,link-building-tools-vs-indexing-tools,Tool/API Evaluator,bottom,commercial investigation,ready-for-publish,9.4,P2
best-google-indexing-tools,Best Google Indexing Tools,comparisons,,,,,,,Tool/API Evaluator,bottom,commercial,ready-for-publish,9.3,P2
desktop-indexer-vs-online-indexing-tool,Desktop Indexer vs Online Indexing Tool,comparisons,,,,,,,Tool/API Evaluator,bottom,commercial,ready-for-publish,,P2
free-url-indexer-vs-paid-indexing-tool,Free URL Indexer vs Paid Indexing Tool,comparisons,,,,,,,Tool/API Evaluator,bottom,commercial,ready-for-publish,,P2
freeindexer-vs-indexing-api,FreeIndexer vs Indexing API,comparisons,,,,,,,Tool/API Evaluator,bottom,commercial,ready-for-publish,9.3,P2
google-search-console-vs-indexing-tool,Google Search Console vs Indexing Tool,comparisons,Tools Providers And Workflow Comparisons,4,cluster,tools-providers-and-workflow-comparisons,seo-platform-vs-indexing-tool,backlink-tools-vs-indexing-tools,Tool/API Evaluator,bottom,commercial,ready-for-publish,9.3,P2
indexing-api-alternatives,Indexing API Alternatives For SEO Workflows,comparisons,,,,,,,Tool/API Evaluator,bottom,commercial,ready-for-publish,,P2
link-building-tools-vs-indexing-tools,Link-Building Tools vs Indexing Tools,comparisons,Tools Providers And Workflow Comparisons,6,cluster,tools-providers-and-workflow-comparisons,backlink-tools-vs-indexing-tools,,Tool/API Evaluator,bottom,commercial investigation,ready-for-publish,9.3,P2
manual-url-submission-vs-bulk-indexing-workflow,Manual URL Submission vs Bulk Indexing Workflow,comparisons,,,,,,,Tool/API Evaluator,bottom,commercial,ready-for-publish,,P2
seo-platform-vs-indexing-tool,SEO Platform vs Indexing Tool,comparisons,Tools Providers And Workflow Comparisons,3,cluster,tools-providers-and-workflow-comparisons,seo-provider-vs-indexing-tool,google-search-console-vs-indexing-tool,Tool/API Evaluator,bottom,commercial,ready-for-publish,9.3,P2
tools-providers-and-workflow-comparisons,Tools Providers And Workflow Comparisons,comparisons,Tools Providers And Workflow Comparisons,1,hub,tools-providers-and-workflow-comparisons,,seo-provider-vs-indexing-tool,Tool/API Evaluator,bottom,commercial investigation,ready-for-publish,9.4,P2
ai-generated-page-indexing-checklist,AI-Generated Page Indexing Checklist,content-marketing,,,,,,,Content Team,middle,informational,ready-for-publish,9.4,P2
blog-publishing-checklist-for-indexing,Blog Publishing Checklist For Indexing,content-marketing,Content Marketing That Gets Discovered,6,cluster,content-marketing-that-gets-discovered,on-page-seo-checklist-for-new-content,content-refresh-workflow-for-organic-growth,Blog Or Network Owner,middle,informational-commercial,ready-for-publish,9.3,P2
content-brief-template-for-seo-pages,Content Brief Template For SEO Pages,content-marketing,Content Marketing That Gets Discovered,4,cluster,content-marketing-that-gets-discovered,keyword-intent-checklist-before-writing,on-page-seo-checklist-for-new-content,SaaS Or Product Team,middle,informational-commercial,ready-for-publish,9.3,P2
content-cluster-planning-for-search-visibility,Content Cluster Planning For Search Visibility,content-marketing,Content Marketing That Gets Discovered,2,cluster,content-marketing-that-gets-discovered,content-marketing-that-gets-discovered,keyword-intent-checklist-before-writing,Content Marketer,top,informational,ready-for-publish,9.3,P2
content-marketing-that-gets-discovered,Content Marketing That Gets Discovered,content-marketing,Content Marketing That Gets Discovered,1,hub,content-marketing-that-gets-discovered,,content-cluster-planning-for-search-visibility,Content Marketer,top,informational,ready-for-publish,9.5,P2
content-refresh-indexing-workflow,Content Refresh Indexing Workflow,content-marketing,,,,,,,Content Team,middle,informational-commercial,ready-for-publish,9.4,P2
content-refresh-workflow-for-organic-growth,Content Refresh Workflow For Organic Growth,content-marketing,Content Marketing That Gets Discovered,7,cluster,content-marketing-that-gets-discovered,blog-publishing-checklist-for-indexing,content-visibility-reporting-for-content-teams,Growth Operator,middle,informational-commercial,ready-for-publish,9.3,P2
content-visibility-reporting-for-content-teams,Content Visibility Reporting For Content Teams,content-marketing,Content Marketing That Gets Discovered,8,cluster,content-marketing-that-gets-discovered,content-refresh-workflow-for-organic-growth,,Content Marketer,middle,informational,ready-for-publish,9.3,P2
keyword-intent-checklist-before-writing,Keyword Intent Checklist Before Writing,content-marketing,Content Marketing That Gets Discovered,3,cluster,content-marketing-that-gets-discovered,content-cluster-planning-for-search-visibility,content-brief-template-for-seo-pages,Content Marketer,top,informational,ready-for-publish,9.3,P2
news-article-indexing-workflow,News Article Indexing Workflow For Fast Publishing Teams,content-marketing,,,,,,,Content Marketer,middle,informational-commercial,ready-for-publish,9.4,P2
on-page-seo-checklist-for-new-content,On-Page SEO Checklist For New Content,content-marketing,Content Marketing That Gets Discovered,5,cluster,content-marketing-that-gets-discovered,content-brief-template-for-seo-pages,blog-publishing-checklist-for-indexing,Website Owner,top,informational,ready-for-publish,9.3,P2
seasonal-page-indexing-strategy,"Seasonal Page Indexing Strategy: Reuse, Refresh, Or Replace?",content-marketing,,,,,,,Content Marketer,middle,informational-commercial,ready-for-publish,9.4,P2
freeindexer-desktop-app-guide,FreeIndexer Desktop App Guide,desktop-app,,,,,,,Blog Or Network Owner,bottom,commercial investigation,ready-for-publish,,P2
freeindexer-desktop-app-workflow-stack,FreeIndexer Desktop App Workflow Stack,desktop-app,Practical Digital Marketing Tool Stacks,4,cluster,seo-tool-stack-for-small-agencies,indexing-and-discovery-tool-stack,troubleshooting-tool-stack-for-seo-teams,Blog Or Network Owner,bottom,commercial investigation,ready-for-publish,9.3,P2
how-to-track-links-created-by-seo-software,How To Track Links Created By SEO Software,desktop-app,SEO Software And Automation Tools,7,cluster,seo-software-and-automation-tools,seo-automation-vs-managed-seo-services,,SEO Operator,middle,informational-commercial,ready-for-publish,9.3,P2
windows-url-indexing-software-workflow,Windows URL Indexing Software Workflow,desktop-app,,,,,,,Blog Or Network Owner,bottom,commercial investigation,ready-for-publish,,P2
content-calendar-for-seo-growth,Content Calendar For SEO Growth,digital-marketing-operations,Digital Marketing Operations,3,cluster,digital-marketing-operations-workflow,seo-qa-process-before-publishing,marketing-task-workflow-for-small-teams,Content Marketer,middle,informational,ready-for-publish,9.3,P2
digital-marketing-operations-workflow,Digital Marketing Operations Workflow,digital-marketing-operations,Digital Marketing Operations,1,hub,digital-marketing-operations-workflow,,seo-qa-process-before-publishing,Growth Operator,middle,informational,ready-for-publish,9.4,P2
marketing-task-workflow-for-small-teams,Marketing Task Workflow For Small Teams,digital-marketing-operations,Digital Marketing Operations,4,cluster,digital-marketing-operations-workflow,content-calendar-for-seo-growth,vendor-management-workflow-for-seo-campaigns,Founder,middle,informational,ready-for-publish,9.3,P2
monthly-indexing-operations-calendar,Monthly Indexing Operations Calendar,digital-marketing-operations,,,,,,,SEO Operator,middle,informational-commercial,ready-for-publish,9.4,P2
seo-qa-process-before-publishing,SEO QA Process Before Publishing,digital-marketing-operations,Digital Marketing Operations,2,cluster,digital-marketing-operations-workflow,digital-marketing-operations-workflow,content-calendar-for-seo-growth,SaaS Or Product Team,middle,informational-commercial,ready-for-publish,9.3,P2
vendor-management-workflow-for-seo-campaigns,Vendor Management Workflow For SEO Campaigns,digital-marketing-operations,Digital Marketing Operations,5,cluster,digital-marketing-operations-workflow,marketing-task-workflow-for-small-teams,campaign-checklist-for-repeatable-seo,SEO Agency,middle,informational-commercial,ready-for-publish,9.3,P2
crawl-stats-indexing-diagnostics-workflow,Crawl Stats Indexing Diagnostics Workflow,google-search-console,,,,,,,Webmaster,middle,informational,ready-for-publish,9.4,P2
discovered-url-priority-fixes,Discovered URL Priority Fixes,google-search-console,,,,,,,SEO Operator,middle,troubleshooting,ready-for-publish,9.4,P2
google-search-console-basics,Google Search Console Basics,google-search-console,Website Visibility Foundations,5,cluster,seo-basics-for-website-owners,sitemap-and-robots-basics,internal-linking-basics-for-website-owners,Website Owner,top,informational,ready-for-publish,9.3,P2
google-search-console-indexing-guide,Google Search Console Indexing Guide,google-search-console,,,,,,,Webmaster,top,informational,ready-for-publish,,P2
google-search-console-pages-report-explained,Google Search Console Pages Report Explained,google-search-console,,,,,,,Webmaster,top,informational,ready-for-publish,,P2
google-search-console-playbook,Google Search Console Playbook,google-search-console,Google Search Console Playbook,1,hub,google-search-console-playbook,,url-inspection-decision-tree,Webmaster,top,informational,ready-for-publish,9.4,P2
gsc-client-reporting-workflow,GSC Client Reporting Workflow,google-search-console,Google Search Console Playbook,8,cluster,google-search-console-playbook,fixing-crawled-currently-not-indexed,,SEO Agency,middle,informational-commercial,ready-for-publish,9.3,P2
how-to-use-url-inspection-tool,How To Use The URL Inspection Tool,google-search-console,,,,,,,Website Owner,top,informational,ready-for-publish,,P2
indexed-not-submitted-in-sitemap-explained,"Indexed, Not Submitted In Sitemap Explained",google-search-console,,,,,,,Website Owner,middle,informational,ready-for-publish,9.4,P2
live-test-vs-indexed-status-search-console,Live Test vs Indexed Status In Search Console,google-search-console,,,,,,,Website Owner,middle,informational,ready-for-publish,9.4,P2
orphan-page-audit-with-search-console,How To Run An Orphan Page Audit With Search Console,google-search-console,,,,,,,SEO Operator,middle,informational,ready-for-publish,9.4,P2
page-with-redirect-search-console,"How To Handle \""Page With Redirect\"" In Search Console",google-search-console,,,,,,,Webmaster,middle,troubleshooting,ready-for-publish,9.4,P2
pages-report-troubleshooting-workflow,Pages Report Troubleshooting Workflow,google-search-console,Google Search Console Playbook,3,cluster,google-search-console-playbook,url-inspection-decision-tree,submit-sitemap-in-google-search-console,Webmaster,top,troubleshooting,ready-for-publish,9.3,P2
request-indexing-after-page-updates,When To Request Indexing After Page Updates,google-search-console,,,,,,,SEO Operator,middle,informational-commercial,ready-for-publish,9.4,P2
request-indexing-in-search-console,Request Indexing In Search Console,google-search-console,,,,,,,Website Owner,top,informational,ready-for-publish,,P2
search-console-export-indexing-triage,Search Console Export Indexing Triage,google-search-console,,,,,,,SEO Operator,middle,troubleshooting,ready-for-publish,9.4,P2
search-console-sitemap-errors,Search Console Sitemap Errors,google-search-console,,,,,,,Webmaster,top,informational,ready-for-publish,,P2
search-console-validation-after-fixes,Search Console Validation After Indexing Fixes,google-search-console,,,,,,,Webmaster,middle,troubleshooting,ready-for-publish,9.4,P2
sitemap-zero-discovered-urls,Sitemap Shows Zero Discovered URLs: What To Check,google-search-console,,,,,,,Webmaster,middle,troubleshooting,ready-for-publish,9.4,P2
submit-sitemap-in-google-search-console,How To Submit A Sitemap In Google Search Console,google-search-console,Google Search Console Playbook,4,cluster,google-search-console-playbook,pages-report-troubleshooting-workflow,validate-fix-search-console-indexing,Website Owner,top,informational,ready-for-publish,9.3,P2
url-inspection-decision-tree,URL Inspection Decision Tree,google-search-console,Google Search Console Playbook,2,cluster,google-search-console-playbook,google-search-console-playbook,pages-report-troubleshooting-workflow,SEO Operator,top,informational,ready-for-publish,9.3,P2
url-inspection-statuses-explained,URL Inspection Statuses Explained,google-search-console,,,,,,,Webmaster,top,informational,ready-for-publish,,P2
url-is-not-on-google-search-console,"How To Fix \""URL Is Not On Google\"" In Search Console",google-search-console,,,,,,,Website Owner,middle,troubleshooting,ready-for-publish,9.4,P2
validate-fix-search-console-indexing,Validate Fix In Search Console: When To Use It And What To Check,google-search-console,Google Search Console Playbook,5,cluster,google-search-console-playbook,submit-sitemap-in-google-search-console,fixing-discovered-currently-not-indexed,Webmaster,top,informational,ready-for-publish,9.3,P2
crawlability-vs-indexability-checklist,Crawlability vs Indexability: A Practical Checklist,indexing-education,,,,,,,Website Owner,middle,informational,ready-for-publish,9.4,P2
documentation-site-indexing-workflow,Documentation Site Indexing Workflow,indexing-education,Platform SEO Playbooks,10,cluster,platform-seo-playbooks,saas-website-seo-indexing-workflow,,SaaS Or Product Team,middle,informational-commercial,ready-for-publish,9.3,P2
google-indexing-delay-checklist,Google Indexing Delay Checklist,indexing-education,,,,,,,Website Owner,top,informational,ready-for-publish,,P2
homepage-to-deep-page-discovery-workflow,Homepage To Deep Page Discovery Workflow,indexing-education,,,,,,,Webmaster,middle,informational,ready-for-publish,9.4,P2
how-google-discovers-new-urls,How Google Discovers New URLs,indexing-education,,,,,,,Website Owner,top,informational,ready-for-publish,,P2
how-search-engines-crawl-and-index-pages,How Search Engines Crawl And Index Pages,indexing-education,,,,,,,Website Owner,top,informational,ready-for-publish,,P2
how-search-visibility-works,How Search Visibility Works,indexing-education,Website Visibility Foundations,2,cluster,seo-basics-for-website-owners,seo-basics-for-website-owners,indexing-vs-ranking-vs-visibility,Website Owner,top,informational,ready-for-publish,9.3,P2
how-to-check-if-a-page-is-indexed-by-google,How To Check If A Page Is Indexed By Google,indexing-education,,,,,,,Website Owner,middle,informational,ready-for-publish,9.4,P2
how-to-prioritize-urls-for-indexing,How To Prioritize URLs For Indexing,indexing-education,,,,,,,SEO Operator,middle,informational-commercial,ready-for-publish,,P2
indexing-and-discovery-tool-stack,Indexing And Discovery Tool Stack,indexing-education,Practical Digital Marketing Tool Stacks,3,cluster,seo-tool-stack-for-small-agencies,seo-tool-stack-for-small-websites,freeindexer-desktop-app-workflow-stack,SEO Operator,bottom,commercial investigation,ready-for-publish,9.3,P2
indexing-audit-for-service-pages,Indexing Audit For Service Pages,indexing-education,,,,,,,Website Owner,middle,informational-commercial,ready-for-publish,9.4,P2
indexing-priority-scorecard,Indexing Priority Scorecard: Which URLs Should Go First?,indexing-education,,,,,,,SEO Operator,middle,informational-commercial,ready-for-publish,9.4,P2
indexing-signals-that-help-google-discover-content,Indexing Signals That Help Google Discover Content,indexing-education,,,,,,,SEO Operator,top,informational,ready-for-publish,,P2
indexing-vs-ranking-vs-visibility,Indexing vs Ranking vs Visibility,indexing-education,Website Visibility Foundations,3,cluster,seo-basics-for-website-owners,how-search-visibility-works,sitemap-and-robots-basics,Website Owner,top,informational,ready-for-publish,9.3,P2
internal-links-for-faster-page-discovery,Internal Links For Faster Page Discovery,indexing-education,,,,,,,Content Team,middle,informational,ready-for-publish,9.4,P2
search-discovery-workflow-for-new-content,Search Discovery Workflow For New Content,indexing-education,,,,,,,Website Owner,middle,informational-commercial,ready-for-publish,,P2
search-engine-discovery-pipeline,Search Engine Discovery Pipeline For New URLs,indexing-education,,,,,,,SEO Operator,middle,informational,ready-for-publish,9.4,P2
seo-campaign-workflow-from-provider-to-indexing,SEO Campaign Workflow From Provider To Indexing,indexing-education,SEO Campaign Services And Provider Workflows,6,cluster,seo-campaign-services-for-small-websites,how-to-verify-seo-campaign-results,link-building-provider-checklist-for-local-seo-campaigns,SEO Agency,middle,informational-commercial,ready-for-publish,9.3,P2
url-indexed-crawled-discovered-difference,"Indexed, Crawled, Or Discovered: What The Difference Means",indexing-education,,,,,,,Website Owner,top,informational,ready-for-publish,9.3,P2
url-indexing-vs-ranking,URL Indexing vs Ranking: What Is The Difference?,indexing-education,,,,,,,Website Owner,top,informational,ready-for-publish,,P2
url-submission-checklist-before-indexing,URL Submission Checklist Before Indexing,indexing-education,,,,,,,Website Owner,middle,informational-commercial,ready-for-publish,,P2
conversion-focused-cta-checklist,Conversion Focused CTA Checklist,landing-pages-cro,Landing Pages And CRO,2,cluster,seo-landing-page-structure,seo-landing-page-structure,landing-page-trust-section-checklist,Founder,middle,informational,ready-for-publish,9.3,P2
landing-page-relaunch-indexing-plan,Landing Page Relaunch Indexing Plan,landing-pages-cro,,,,,,,Growth Operator,middle,informational-commercial,ready-for-publish,9.4,P2
landing-page-trust-section-checklist,Landing Page Trust Section Checklist,landing-pages-cro,Landing Pages And CRO,3,cluster,seo-landing-page-structure,conversion-focused-cta-checklist,pricing-page-seo-and-cro,SaaS Or Product Team,middle,informational,ready-for-publish,9.3,P2
lead-capture-page-seo-checklist,Lead Capture Page SEO Checklist,landing-pages-cro,Landing Pages And CRO,5,cluster,seo-landing-page-structure,pricing-page-seo-and-cro,landing-page-indexing-checklist,Founder,middle,informational-commercial,ready-for-publish,9.3,P2
pricing-page-seo-and-cro,Pricing Page SEO And CRO,landing-pages-cro,Landing Pages And CRO,4,cluster,seo-landing-page-structure,landing-page-trust-section-checklist,lead-capture-page-seo-checklist,SaaS Or Product Team,bottom,commercial investigation,ready-for-publish,9.3,P2
seo-landing-page-structure,SEO Landing Page Structure,landing-pages-cro,Landing Pages And CRO,1,hub,seo-landing-page-structure,,conversion-focused-cta-checklist,SaaS Or Product Team,middle,informational-commercial,ready-for-publish,9.4,P2
indexing-education-hub,Indexing Education Hub,indexing-education,,,,,,,Website Owner,top,informational,ready-for-publish,,P2
