schedule_day,slot,article_number,slug,title,phase,series_name,category,planned_action,planned_status,notes,actual_status,actual_published_at,blog_url,hero_image_url,content_status,hero_status,hero_upload_status,publish_status,execution_status,execution_blocker
Day 4,2,11,canonical-audit-workflow-for-seo-teams,Canonical Audit Workflow For SEO Teams,Phase 1 Authority Foundation,Technical SEO For Operators,technical-seo,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 4,3,12,noindex-mistakes-seo-teams-miss,Noindex Mistakes SEO Teams Miss,Phase 1 Authority Foundation,Technical SEO For Operators,troubleshooting,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 5,1,13,sitemap-cleanup-workflow-for-large-sites,Sitemap Cleanup Workflow For Large Sites,Phase 1 Authority Foundation,Technical SEO For Operators,technical-seo,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 5,2,14,internal-linking-system-for-large-sites,Internal Linking System For Large Sites,Phase 1 Authority Foundation,Technical SEO For Operators,technical-seo,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 5,3,15,url-inventory-management-for-seo-teams,URL Inventory Management For SEO Teams,Phase 1 Authority Foundation,Technical SEO For Operators,bulk-seo-operations,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-25T11:00:00.000000Z,https://blog.freeindexer.com/url-inventory-management-for-seo-teams,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/url-inventory-management-for-seo-teams-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 6,1,16,google-search-console-playbook,Google Search Console Playbook,Phase 1 Authority Foundation,Google Search Console Playbook,google-search-console,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 6,2,17,url-inspection-decision-tree,URL Inspection Decision Tree,Phase 1 Authority Foundation,Google Search Console Playbook,google-search-console,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 6,3,18,pages-report-troubleshooting-workflow,Pages Report Troubleshooting Workflow,Phase 1 Authority Foundation,Google Search Console Playbook,google-search-console,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 7,1,19,submit-sitemap-in-google-search-console,Submit Sitemap In Google Search Console,Phase 1 Authority Foundation,Google Search Console Playbook,google-search-console,publish-or-schedule-after-approval,published,Hero uploaded; published confirmed by API.,published,2026-05-15T12:39:28.000000Z,https://blog.freeindexer.com/submit-sitemap-in-google-search-console,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/submit-sitemap-in-google-search-console-hero.png,created,hero_generated,hero_uploaded,published,published,
Day 7,2,20,validate-fix-search-console-indexing,Validate Fix In Search Console,Phase 1 Authority Foundation,Google Search Console Playbook,google-search-console,publish-or-schedule-after-approval,published,Hero uploaded; published confirmed by API.,published,2026-05-18T13:35:21.000000Z,https://blog.freeindexer.com/validate-fix-search-console-indexing,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/validate-fix-search-console-indexing-hero.png,created,hero_generated,hero_uploaded,published,published,
Day 7,3,21,fixing-discovered-currently-not-indexed,Fixing Discovered Currently Not Indexed,Phase 1 Authority Foundation,Google Search Console Playbook,troubleshooting,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 8,1,22,fixing-crawled-currently-not-indexed,Fixing Crawled Currently Not Indexed,Phase 1 Authority Foundation,Google Search Console Playbook,troubleshooting,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 8,2,23,gsc-client-reporting-workflow,GSC Client Reporting Workflow,Phase 1 Authority Foundation,Google Search Console Playbook,google-search-console,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 8,3,24,backlink-discovery-and-indexing-guide,Backlink Discovery And Indexing Guide,Phase 1 Authority Foundation,Backlinks And Discovery,backlinks,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-27T12:00:00.000000Z,https://blog.freeindexer.com/backlink-discovery-and-indexing-guide-2,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/backlink-discovery-and-indexing-guide-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 9,1,25,backlink-quality-before-indexing,Backlink Quality Before Indexing,Phase 1 Authority Foundation,Backlinks And Discovery,backlinks,publish-or-schedule-after-approval,published,Hero uploaded; published confirmed by API.,published,2026-05-20T11:00:00.000000Z,https://blog.freeindexer.com/backlink-quality-before-indexing,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/backlink-quality-before-indexing-hero.png,created,hero_generated,hero_uploaded,published,published,
Day 9,2,26,backlink-discovery-workflow-after-link-building,Backlink Discovery Workflow After Link Building,Phase 1 Authority Foundation,Backlinks And Discovery,backlinks,publish-or-schedule-after-approval,published,Hero uploaded; published confirmed by API.,published,2026-05-18T13:35:24.000000Z,https://blog.freeindexer.com/backlink-discovery-workflow-after-link-building,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/backlink-discovery-workflow-after-link-building-hero.png,created,hero_generated,hero_uploaded,published,published,
Day 9,3,27,link-building-provider-checklist,Link-Building Provider Checklist,Phase 1 Authority Foundation,Backlinks And Discovery,backlinks,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-23T06:00:00.000000Z,https://blog.freeindexer.com/link-building-provider-checklist,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/link-building-provider-checklist-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 10,1,28,manage-backlink-vendors-indexing-visibility,Managing Backlink Vendors Without Losing Indexing Visibility,Phase 1 Authority Foundation,Backlinks And Discovery,backlinks,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-22T06:00:00.000000Z,https://blog.freeindexer.com/manage-backlink-vendors-indexing-visibility,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/manage-backlink-vendors-indexing-visibility-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 10,2,29,track-backlink-discovery-for-seo-campaigns,Track Backlink Discovery For SEO Campaigns,Phase 1 Authority Foundation,Backlinks And Discovery,backlinks,publish-or-schedule-after-approval,published,Hero uploaded; published confirmed by API.,published,2026-05-21T03:00:00.000000Z,https://blog.freeindexer.com/track-backlink-discovery-for-seo-campaigns,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/track-backlink-discovery-for-seo-campaigns-hero.png,created,hero_generated,hero_uploaded,published,published,
Day 10,3,30,backlink-reporting-template-for-agencies,Backlink Reporting Template For Agencies,Phase 1 Authority Foundation,Backlinks And Discovery,backlinks,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 11,1,31,affiliate-backlink-tracking-workflow,Affiliate Backlink Tracking Workflow,Phase 1 Authority Foundation,Backlinks And Discovery,backlinks,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 11,2,32,content-marketing-that-gets-discovered,Content Marketing That Gets Discovered,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,content-marketing,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-23T12:00:00.000000Z,https://blog.freeindexer.com/content-marketing-that-gets-discovered,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/content-marketing-that-gets-discovered-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 11,3,33,content-cluster-planning-for-search-visibility,Content Cluster Planning For Search Visibility,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,content-marketing,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 12,1,34,keyword-intent-checklist-before-writing,Keyword Intent Checklist Before Writing,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,content-marketing,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 12,2,35,content-brief-template-for-seo-pages,Content Brief Template For SEO Pages,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,content-marketing,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 12,3,36,on-page-seo-checklist-for-new-content,On-Page SEO Checklist For New Content,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,content-marketing,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 13,1,37,blog-publishing-checklist-for-indexing,Blog Publishing Checklist For Indexing,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,content-marketing,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 13,2,38,content-refresh-workflow-for-organic-growth,Content Refresh Workflow For Organic Growth,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,content-marketing,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 13,3,39,content-visibility-reporting-for-content-teams,Content Visibility Reporting For Content Teams,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,content-marketing,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 14,1,40,analytics-and-reporting-for-seo-growth,Analytics And Reporting For SEO Growth,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,analytics-reporting,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 14,2,41,ga4-basics-for-seo-reporting,GA4 Basics For SEO Reporting,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,analytics-reporting,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 14,3,42,search-console-and-ga4-seo-workflow,Search Console And GA4 SEO Workflow,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,analytics-reporting,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-24T06:00:00.000000Z,https://blog.freeindexer.com/search-console-and-ga4-seo-workflow,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/search-console-and-ga4-seo-workflow-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 15,1,43,track-organic-landing-pages,Track Organic Landing Pages,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,analytics-reporting,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 15,2,44,indexing-vs-traffic-reporting,Indexing vs Traffic Reporting,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,analytics-reporting,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 15,3,45,monthly-seo-reporting-dashboard,Monthly SEO Reporting Dashboard,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,analytics-reporting,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 16,1,46,client-seo-reporting-template,Client SEO Reporting Template,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,webmaster-guides,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 16,2,47,seo-landing-page-structure,SEO Landing Page Structure,Phase 2 Digital Marketing Expansion,Landing Pages And CRO,landing-pages-cro,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 16,3,48,conversion-focused-cta-checklist,Conversion Focused CTA Checklist,Phase 2 Digital Marketing Expansion,Landing Pages And CRO,landing-pages-cro,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 17,1,49,landing-page-trust-section-checklist,Landing Page Trust Section Checklist,Phase 2 Digital Marketing Expansion,Landing Pages And CRO,landing-pages-cro,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 17,2,50,pricing-page-seo-and-cro,Pricing Page SEO And CRO,Phase 2 Digital Marketing Expansion,Landing Pages And CRO,landing-pages-cro,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 17,3,51,lead-capture-page-seo-checklist,Lead Capture Page SEO Checklist,Phase 2 Digital Marketing Expansion,Landing Pages And CRO,landing-pages-cro,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 18,1,52,landing-page-indexing-checklist,Landing Page Indexing Checklist,Phase 2 Digital Marketing Expansion,Landing Pages And CRO,use-cases,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 18,2,53,digital-marketing-operations-workflow,Digital Marketing Operations Workflow,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,digital-marketing-operations,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 18,3,54,seo-qa-process-before-publishing,SEO QA Process Before Publishing,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,digital-marketing-operations,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 19,1,55,content-calendar-for-seo-growth,Content Calendar For SEO Growth,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,digital-marketing-operations,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 19,2,56,marketing-task-workflow-for-small-teams,Marketing Task Workflow For Small Teams,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,digital-marketing-operations,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 19,3,57,vendor-management-workflow-for-seo-campaigns,Vendor Management Workflow For SEO Campaigns,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,digital-marketing-operations,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 20,1,58,campaign-checklist-for-repeatable-seo,Campaign Checklist For Repeatable SEO,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,bulk-seo-operations,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 20,2,59,client-reporting-workflow-for-seo-agencies,Client Reporting Workflow For SEO Agencies,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,use-cases,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 20,3,60,ai-search-visibility-for-seo-operators,AI Search Visibility For SEO Operators,Phase 4 Platform And Advanced Growth,AI Search / GEO Visibility,ai-search-visibility,publish-or-schedule-after-approval,published,Hero uploaded; published confirmed by API.,published,2026-05-15T12:40:36.000000Z,https://blog.freeindexer.com/ai-search-visibility-for-seo-operators,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/ai-search-visibility-for-seo-operators-hero.png,created,hero_generated,hero_uploaded,published,published,
Day 21,1,61,geo-readiness-checklist-for-website-owners,GEO Readiness Checklist For Website Owners,Phase 4 Platform And Advanced Growth,AI Search / GEO Visibility,ai-search-visibility,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-26T11:00:00.000000Z,https://blog.freeindexer.com/geo-readiness-checklist-for-website-owners,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/geo-readiness-checklist-for-website-owners-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 21,2,62,content-structure-for-ai-search-discovery,Content Structure For AI Search Discovery,Phase 4 Platform And Advanced Growth,AI Search / GEO Visibility,ai-search-visibility,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 21,3,63,entity-clarity-for-seo-and-ai-search,Entity Clarity For SEO And AI Search,Phase 4 Platform And Advanced Growth,AI Search / GEO Visibility,ai-search-visibility,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 22,1,64,technical-seo-foundations-for-ai-search,Technical SEO Foundations For AI Search,Phase 4 Platform And Advanced Growth,AI Search / GEO Visibility,technical-seo,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 22,2,65,tools-providers-and-workflow-comparisons,Tools Providers And Workflow Comparisons,Phase 3 Commercial And Provider Layer,Tools Providers And Workflow Comparisons,comparisons,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 22,3,66,seo-provider-vs-indexing-tool,SEO Provider vs Indexing Tool,Phase 3 Commercial And Provider Layer,Tools Providers And Workflow Comparisons,seo-tools-providers,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
Day 23,1,67,seo-platform-vs-indexing-tool,SEO Platform vs Indexing Tool,Phase 3 Commercial And Provider Layer,Tools Providers And Workflow Comparisons,comparisons,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-24T07:00:00.000000Z,https://blog.freeindexer.com/seo-platform-vs-indexing-tool,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/seo-platform-vs-indexing-tool-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 23,2,68,google-search-console-vs-indexing-tool,Google Search Console vs Indexing Tool,Phase 3 Commercial And Provider Layer,Tools Providers And Workflow Comparisons,comparisons,publish-or-schedule-after-approval,published,Hero uploaded; published confirmed by API.,published,2026-05-15T12:40:04.000000Z,https://blog.freeindexer.com/google-search-console-vs-indexing-tool,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/google-search-console-vs-indexing-tool-hero.png,created,hero_generated,hero_uploaded,published,published,
Day 23,3,69,backlink-tools-vs-indexing-tools,Backlink Tools vs Indexing Tools,Phase 3 Commercial And Provider Layer,Tools Providers And Workflow Comparisons,comparisons,publish-or-schedule-after-approval,created,"Article created; awaiting hero generation, upload, and scheduling.",,,,,created,created,created,created,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
