article_number,phase,series_name,title,slug,category,tags,primary_icp,secondary_icp,funnel_stage,search_intent,primary_keyword,secondary_keywords,target_cta,internal_links,image_concept,hero_template,freeindexer_mention,seoestore_mention,content_role,priority_level,planned_status,execution_blocker
1,Phase 1 Authority Foundation,Website Visibility Foundations,SEO Basics For Website Owners,seo-basics-for-website-owners,webmaster-guides,seo|website-owners|guide|search-visibility,Website Owner,Webmaster,top,informational,seo basics for website owners,website SEO basics|search visibility basics|website owner SEO,Build a simple visibility checklist,indexing-education-hub|content-visibility-checklist|website-owner-seo-maintenance-checklist,Beginner website visibility board with crawl links sitemap and priority URL cards,1,limited,none,hub,P1,scheduled,
12,Phase 1 Authority Foundation,Technical SEO For Operators,Noindex Mistakes SEO Teams Miss,noindex-mistakes-seo-teams-miss,troubleshooting,noindex|technical-seo|troubleshooting|seo-operators,SEO Operator,Webmaster,top,troubleshooting,noindex mistakes SEO,noindex mistakes|accidental noindex|pages excluded by noindex,Find accidental exclusions,noindex-tag-checklist|submitted-url-not-indexed|technical-seo-indexing-audit,Diagnostic board showing noindex sources in HTML headers plugins and templates,3,yes,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
13,Phase 1 Authority Foundation,Technical SEO For Operators,Sitemap Cleanup Workflow For Large Sites,sitemap-cleanup-workflow-for-large-sites,technical-seo,sitemap|sitemap-management|crawl-budget|bulk-url-operations,Programmatic SEO Builder,SEO Operator,middle,informational,sitemap cleanup workflow,sitemap cleanup|large site sitemap audit|XML sitemap SEO,Clean sitemap inventories,sitemap-indexing-checklist|url-inventory-management-for-seo-teams|crawl-budget-basics-for-small-sites,Sitemap inventory board with clean stale redirected blocked and priority sitemap rows,1,yes,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
14,Phase 1 Authority Foundation,Technical SEO For Operators,Internal Linking System For Large Sites,internal-linking-system-for-large-sites,technical-seo,internal-linking|technical-seo|programmatic-seo|crawlability,Programmatic SEO Builder,SEO Operator,middle,informational-commercial,internal linking system for large sites,large site internal linking|programmatic SEO internal links|orphan pages,Build repeatable linking rules,internal-linking-for-indexing|orphan-pages-and-indexing|bulk-url-prioritization-matrix,Large site internal link architecture with hubs categories and priority URL paths,2,yes,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
15,Phase 1 Authority Foundation,Technical SEO For Operators,URL Inventory Management For SEO Teams,url-inventory-management-for-seo-teams,bulk-seo-operations,bulk-url-operations|seo-operators|seo-agencies|technical-seo,SEO Agency,SEO Operator,middle,informational-commercial,URL inventory management for SEO teams,SEO URL inventory|bulk URL management|URL tracking workflow,Turn URLs into an operating system,bulk-url-operations-workflow|technical-seo-indexing-audit|indexability-audit-for-large-url-sets,URL inventory spreadsheet dashboard with priority owners status and next action columns,3,yes,none,cluster,P1,scheduled,
16,Phase 1 Authority Foundation,Google Search Console Playbook,Google Search Console Playbook,google-search-console-playbook,google-search-console,google-search-console|webmasters|seo-operators|guide,Webmaster,SEO Operator,top,informational,Google Search Console playbook,Search Console guide|GSC SEO workflow|Google indexing reports,Use GSC as the diagnostic base,google-search-console-indexing-guide|url-inspection-statuses-explained|search-console-sitemap-errors,Abstract GSC playbook dashboard with pages inspections sitemaps and validation cards,1,yes,none,hub,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
17,Phase 1 Authority Foundation,Google Search Console Playbook,URL Inspection Decision Tree,url-inspection-decision-tree,google-search-console,url-inspection|google-search-console|google-indexing|checklist,SEO Operator,Webmaster,top,informational,URL Inspection decision tree,URL Inspection statuses|Google URL Inspection next steps|request indexing decisions,Choose the next action by status,url-inspection-statuses-explained|how-to-use-url-inspection-tool|request-indexing-in-search-console,Decision tree board for inspected URL status next actions and submission readiness,2,yes,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
18,Phase 1 Authority Foundation,Google Search Console Playbook,Pages Report Troubleshooting Workflow,pages-report-troubleshooting-workflow,google-search-console,google-search-console|troubleshooting|webmasters|seo-reporting,Webmaster,SEO Operator,top,troubleshooting,Pages report troubleshooting workflow,Search Console Pages report|GSC indexing report|page indexing issues,Group GSC issues by fix type,google-search-console-pages-report-explained|submitted-url-not-indexed|technical-seo-indexing-audit,Pages report troubleshooting board with issue groups examples and owner lanes,3,yes,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
19,Phase 1 Authority Foundation,Google Search Console Playbook,Submit Sitemap In Google Search Console,submit-sitemap-in-google-search-console,google-search-console,google-search-console|sitemap|sitemap-management|website-owners,Website Owner,Webmaster,top,informational,submit sitemap in Google Search Console,submit XML sitemap|Search Console sitemap guide|sitemap indexing,Submit and verify sitemap signals,google-search-console-indexing-guide|sitemap-indexing-checklist|search-console-sitemap-errors,Sitemap submission dashboard with sitemap files status and URL examples,1,limited,none,cluster,P2,published,
20,Phase 1 Authority Foundation,Google Search Console Playbook,Validate Fix In Search Console,validate-fix-search-console-indexing,google-search-console,google-search-console|url-inspection|webmasters|troubleshooting,Webmaster,SEO Operator,top,informational,validate fix in Search Console,Search Console validate fix|GSC validation workflow|indexing fix validation,Validate only after real fixes,google-search-console-indexing-guide|search-console-validation-flow|request-indexing-in-search-console,Validation workflow board with fixed examples pending validation and unresolved items,2,limited,none,cluster,P2,published,
21,Phase 1 Authority Foundation,Google Search Console Playbook,Fixing Discovered Currently Not Indexed,fixing-discovered-currently-not-indexed,troubleshooting,google-search-console|troubleshooting|google-indexing|url-inspection,SEO Operator,Website Owner,top,troubleshooting,fix discovered currently not indexed,Discovered currently not indexed|Google discovered not indexed|GSC indexing fixes,Fix discovery without guessing,url-inspection-statuses-explained|submitted-url-not-indexed|content-visibility-checklist,Status diagnosis board for discovered not indexed with content links sitemap and priority fixes,3,yes,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
22,Phase 1 Authority Foundation,Google Search Console Playbook,Fixing Crawled Currently Not Indexed,fixing-crawled-currently-not-indexed,troubleshooting,google-search-console|troubleshooting|indexing|url-inspection,SEO Operator,Webmaster,top,troubleshooting,fix crawled currently not indexed,Crawled currently not indexed|page crawled not indexed|Google crawled not indexed,Improve page readiness,page-crawled-but-not-indexed|url-inspection-statuses-explained|technical-seo-indexing-audit,Crawled not indexed diagnosis with quality canonical duplicate and internal link checks,1,yes,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
23,Phase 1 Authority Foundation,Google Search Console Playbook,GSC Client Reporting Workflow,gsc-client-reporting-workflow,google-search-console,google-search-console|client-reporting|seo-reporting|seo-agencies,SEO Agency,Webmaster,middle,informational-commercial,GSC client reporting workflow,Search Console client report|GSC SEO reporting|indexing report clients,Report GSC issues honestly,google-search-console-indexing-guide|google-search-console-pages-report-explained|track-backlink-discovery-for-seo-campaigns,Client reporting dashboard with GSC issues actions verification and next steps,2,limited,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
24,Phase 1 Authority Foundation,Backlinks And Discovery,Backlink Discovery And Indexing Guide,backlink-discovery-and-indexing-guide,backlinks,backlinks|backlink-discovery|backlink-indexing|guide,Affiliate Marketer,SEO Agency,middle,informational-commercial,backlink discovery and indexing guide,backlink discovery workflow|backlink indexing guide|known backlink URLs,Build a backlink discovery workflow,indexing-education-hub|backlink-indexing-checklist|track-backlink-discovery-for-seo-campaigns,Backlink discovery hub with verified placements priority tiers and follow-up queue,3,yes,none,hub,P1,scheduled,
25,Phase 1 Authority Foundation,Backlinks And Discovery,Backlink Quality Before Indexing,backlink-quality-before-indexing,backlinks,backlinks|backlink-indexing|backlink-discovery|checklist,Affiliate Marketer,SEO Operator,middle,informational-commercial,backlink quality before indexing,backlink quality checklist|should I index backlinks|backlink verification,Review quality before follow-up,backlink-discovery-and-indexing-guide|backlink-indexing-checklist|how-to-get-backlinks-discovered,Backlink quality board with relevance visibility target and priority checks,1,yes,none,cluster,P1,published,
26,Phase 1 Authority Foundation,Backlinks And Discovery,Backlink Discovery Workflow After Link Building,backlink-discovery-workflow-after-link-building,backlinks,backlinks|backlink-discovery|seo-agencies|guide,SEO Agency,Affiliate Marketer,middle,informational-commercial,backlink discovery workflow after link building,post link building workflow|backlink verification workflow|link building indexing,Verify tier and track backlinks,backlink-discovery-and-indexing-guide|backlink-indexing-checklist|track-backlink-discovery-for-seo-campaigns,Post link-building handoff board with delivered links verified links and discovery queue,2,yes,none,cluster,P1,published,
27,Phase 1 Authority Foundation,Backlinks And Discovery,Link-Building Provider Checklist,link-building-provider-checklist,backlinks,seo-provider|backlinks|link-building-tools|client-reporting,SEO Agency,Affiliate Marketer,middle,informational-commercial,link-building provider checklist,backlink provider checklist|link building vendor QA|provider backlink workflow,Verify provider deliverables before reporting,backlink-discovery-and-indexing-guide|manage-backlink-vendors-indexing-visibility|track-backlink-discovery-for-seo-campaigns,Provider QA checklist board with live URL target relevance and reporting fields,3,yes,yes-main,cluster,P1,scheduled,
28,Phase 1 Authority Foundation,Backlinks And Discovery,Managing Backlink Vendors Without Losing Indexing Visibility,manage-backlink-vendors-indexing-visibility,backlinks,backlinks|seo-provider|client-reporting|seo-agencies,SEO Agency,SEO Operator,middle,informational-commercial,managing backlink vendors indexing visibility,backlink vendor workflow|SEO vendor backlinks|backlink indexing visibility,Separate vendor delivery from discovery,backlink-discovery-and-indexing-guide|link-building-provider-checklist|track-backlink-discovery-for-seo-campaigns,Vendor delivery board with provider outputs QA queue and indexing follow-up lane,1,yes,yes-main,cluster,P2,scheduled,
29,Phase 1 Authority Foundation,Backlinks And Discovery,Track Backlink Discovery For SEO Campaigns,track-backlink-discovery-for-seo-campaigns,backlinks,backlink-discovery|seo-campaigns|client-reporting|seo-agencies,SEO Agency,SEO Operator,middle,informational-commercial,track backlink discovery for SEO campaigns,backlink tracking workflow|SEO campaign backlinks|backlink reporting,Track discovery without outcome promises,backlink-discovery-and-indexing-guide|backlink-discovery-workflow-after-link-building|gsc-client-reporting-workflow,Campaign tracking board with backlinks submitted monitored and reported separately,2,yes,none,cluster,P2,published,
30,Phase 1 Authority Foundation,Backlinks And Discovery,Backlink Reporting Template For Agencies,backlink-reporting-template-for-agencies,backlinks,backlinks|client-reporting|seo-agencies|seo-reporting,SEO Agency,SEO Operator,middle,informational-commercial,backlink reporting template for agencies,backlink report template|client backlink reporting|SEO agency backlinks,Report backlinks in client-safe language,backlink-indexing-for-client-reporting|track-backlink-discovery-for-seo-campaigns|backlink-discovery-and-indexing-guide,Client backlink report template with delivery verification follow-up and observed outcomes,3,yes,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
31,Phase 1 Authority Foundation,Backlinks And Discovery,Affiliate Backlink Tracking Workflow,affiliate-backlink-tracking-workflow,backlinks,affiliate-seo|backlinks|backlink-discovery|seo,Affiliate Marketer,SEO Operator,middle,informational-commercial,affiliate backlink tracking workflow,affiliate backlinks tracking|affiliate SEO backlink workflow|track backlinks,Prioritize affiliate campaign links,indexing-workflow-for-affiliate-sites|backlink-quality-before-indexing|how-to-get-backlinks-discovered,Affiliate campaign board with money pages supporting links and backlink discovery status,1,yes,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
32,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,Content Marketing That Gets Discovered,content-marketing-that-gets-discovered,content-marketing,content-marketing|content-discovery|seo|content-strategy,Content Marketer,SaaS Or Product Team,top,informational,content marketing that gets discovered,content discovery SEO|SEO content marketing|discoverable content,Plan discoverable content,indexing-education-hub|search-discovery-workflow-for-new-content|internal-linking-for-indexing,Content marketing hub board with clusters briefs publishing checks and discovery follow-up,2,limited,none,hub,P1,scheduled,
33,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,Content Cluster Planning For Search Visibility,content-cluster-planning-for-search-visibility,content-marketing,content-strategy|content-marketing|internal-linking|search-visibility,Content Marketer,Website Owner,top,informational,content cluster planning for search visibility,SEO content clusters|topic cluster planning|content visibility,Build a cluster map,content-marketing-that-gets-discovered|internal-linking-for-indexing|search-discovery-workflow-for-new-content,Content cluster map with hub page supporting articles internal links and priority queue,3,limited,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
34,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,Keyword Intent Checklist Before Writing,keyword-intent-checklist-before-writing,content-marketing,keyword-intent|content-briefs|on-page-seo|checklist,Content Marketer,SEO Operator,top,informational,keyword intent checklist before writing,keyword intent checklist|search intent content|SEO writing checklist,Match content to intent,content-marketing-that-gets-discovered|content-visibility-checklist|indexing-education-hub,Keyword intent board with query types page formats SERP notes and brief decisions,1,no,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
35,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,Content Brief Template For SEO Pages,content-brief-template-for-seo-pages,content-marketing,content-briefs|keyword-intent|on-page-seo|saas-seo,SaaS Or Product Team,Content Marketer,middle,informational-commercial,content brief template for SEO pages,SEO content brief template|content brief SEO|SaaS content briefs,Create stronger SEO briefs,content-marketing-that-gets-discovered|internal-linking-for-indexing|indexing-workflow-for-product-launch-pages,SEO content brief layout with intent sections examples links metadata and QA notes,2,no,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
36,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,On-Page SEO Checklist For New Content,on-page-seo-checklist-for-new-content,content-marketing,on-page-seo|blog-publishing|checklist|content-marketing,Website Owner,Content Marketer,top,informational,on-page SEO checklist for new content,on-page SEO checklist|new content SEO|SEO publishing checklist,Publish stronger pages,content-marketing-that-gets-discovered|url-submission-checklist-before-indexing|content-visibility-checklist,On-page SEO checklist board with title intro headings links metadata and readiness checks,3,limited,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
37,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,Blog Publishing Checklist For Indexing,blog-publishing-checklist-for-indexing,content-marketing,blog-publishing|url-indexing|checklist|content-discovery,Blog Or Network Owner,Website Owner,middle,informational-commercial,blog publishing checklist for indexing,blog post indexing checklist|publish blog SEO checklist|new blog post indexing,Publish with discovery checks,new-blog-post-indexing-workflow|url-submission-checklist-before-indexing|content-marketing-that-gets-discovered,Blog publishing checklist with draft final URL links sitemap and discovery follow-up status,1,yes,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
38,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,Content Refresh Workflow For Organic Growth,content-refresh-workflow-for-organic-growth,content-marketing,content-refresh|organic-traffic|analytics-reporting|content-marketing,Growth Operator,Content Marketer,middle,informational-commercial,content refresh workflow for organic growth,content refresh SEO|refresh old content|organic growth workflow,Refresh pages by data,content-marketing-that-gets-discovered|google-search-console-pages-report-explained|indexing-signals-that-help-google-discover-content,Content refresh dashboard with declining URLs intent gaps update actions and follow-up queue,2,limited,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
39,Phase 2 Digital Marketing Expansion,Content Marketing That Gets Discovered,Content Visibility Reporting For Content Teams,content-visibility-reporting-for-content-teams,content-marketing,content-marketing|seo-reporting|organic-traffic|content-discovery,Content Marketer,Growth Operator,middle,informational,content visibility reporting for content teams,content reporting SEO|content visibility dashboard|SEO content reports,Report content progress clearly,content-marketing-that-gets-discovered|analytics-and-reporting-for-seo-growth|indexing-vs-traffic-reporting,Content reporting dashboard with published pages discovered pages clicks conversions and refresh notes,3,limited,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
40,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,Analytics And Reporting For SEO Growth,analytics-and-reporting-for-seo-growth,analytics-reporting,analytics-reporting|seo-reporting|organic-traffic|growth-workflows,Growth Operator,SEO Agency,top,informational,analytics and reporting for SEO growth,SEO analytics reporting|organic growth reporting|SEO dashboard basics,Build an SEO reporting base,google-search-console-indexing-guide|indexing-education-hub|content-visibility-checklist,SEO reporting hub dashboard with visibility traffic conversions and next action panels,1,limited,none,hub,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
41,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,GA4 Basics For SEO Reporting,ga4-basics-for-seo-reporting,analytics-reporting,ga4|seo-reporting|organic-traffic|webmasters,Webmaster,Growth Operator,top,informational,GA4 basics for SEO reporting,GA4 SEO reports|organic traffic GA4|SEO reporting GA4,Set up basic SEO reports,analytics-and-reporting-for-seo-growth|google-search-console-pages-report-explained|content-visibility-checklist,GA4-style abstract dashboard with organic landing pages events conversions and notes,2,no,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
42,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,Search Console And GA4 SEO Workflow,search-console-and-ga4-seo-workflow,analytics-reporting,ga4|google-search-console|seo-reporting|organic-traffic,SEO Operator,Growth Operator,middle,informational-commercial,Search Console and GA4 SEO workflow,GSC GA4 workflow|SEO reporting workflow|Search Console GA4,Combine discovery and traffic data,analytics-and-reporting-for-seo-growth|google-search-console-indexing-guide|google-search-console-pages-report-explained,Two-panel GSC and GA4 workflow showing queries pages sessions conversions and next actions,3,limited,none,cluster,P1,scheduled,
43,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,Track Organic Landing Pages,track-organic-landing-pages,analytics-reporting,organic-traffic|landing-pages|analytics-reporting|seo-reporting,SaaS Or Product Team,Growth Operator,middle,informational-commercial,track organic landing pages,organic landing page tracking|SEO landing page analytics|organic traffic pages,Monitor landing page value,analytics-and-reporting-for-seo-growth|seo-landing-page-structure|google-search-console-pages-report-explained,Landing page analytics board with impressions clicks sessions leads and refresh actions,1,no,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
44,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,Indexing vs Traffic Reporting,indexing-vs-traffic-reporting,analytics-reporting,indexing|organic-traffic|seo-reporting|client-reporting,SEO Agency,SEO Operator,middle,informational,indexing vs traffic reporting,indexing vs traffic|SEO reporting indexing|client SEO reports,Explain outcome differences,analytics-and-reporting-for-seo-growth|url-indexing-vs-ranking|track-backlink-discovery-for-seo-campaigns,Reporting matrix separating indexed URLs visibility clicks traffic and conversions,2,limited,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
45,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,Monthly SEO Reporting Dashboard,monthly-seo-reporting-dashboard,analytics-reporting,seo-reporting|client-reporting|ga4|organic-traffic,SEO Agency,Growth Operator,middle,informational-commercial,monthly SEO reporting dashboard,monthly SEO report|SEO dashboard template|client SEO reporting,Create a monthly dashboard,analytics-and-reporting-for-seo-growth|weekly-webmaster-seo-workflow|url-inventory-management-for-seo-teams,Monthly SEO dashboard with sections for work done visibility traffic conversions and next actions,3,limited,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
46,Phase 2 Digital Marketing Expansion,Analytics And Tracking For SEO Growth,Client SEO Reporting Template,client-seo-reporting-template,webmaster-guides,client-reporting|seo-reporting|webmasters|seo-agencies,SEO Agency,Webmaster,middle,informational-commercial,client SEO reporting template,SEO report template|client SEO dashboard|monthly SEO client report,Report SEO work with context,monthly-seo-reporting-dashboard|gsc-client-reporting-workflow|indexing-vs-traffic-reporting,Client reporting template with deliverables verification visibility actions and decisions,1,limited,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
47,Phase 2 Digital Marketing Expansion,Landing Pages And CRO,SEO Landing Page Structure,seo-landing-page-structure,landing-pages-cro,landing-pages|on-page-seo|cro|conversion-optimization,SaaS Or Product Team,Founder,middle,informational-commercial,SEO landing page structure,SEO landing page checklist|landing page SEO|conversion landing page,Structure pages for search and action,content-marketing-that-gets-discovered|indexing-workflow-for-product-launch-pages|internal-linking-for-indexing,Landing page wireframe with search intent sections CTA proof and indexing readiness checks,2,limited,none,hub,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
48,Phase 2 Digital Marketing Expansion,Landing Pages And CRO,Conversion Focused CTA Checklist,conversion-focused-cta-checklist,landing-pages-cro,cro|conversion-optimization|lead-capture|landing-pages,Founder,SaaS Or Product Team,middle,informational,conversion focused CTA checklist,CTA checklist|landing page CTA|conversion copy checklist,Improve page actions,seo-landing-page-structure|track-organic-landing-pages|pricing-page-seo-and-cro,CTA decision board with offer action placement friction trust and measurement checks,3,no,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
49,Phase 2 Digital Marketing Expansion,Landing Pages And CRO,Landing Page Trust Section Checklist,landing-page-trust-section-checklist,landing-pages-cro,landing-pages|cro|conversion-optimization|checklist,SaaS Or Product Team,Founder,middle,informational,landing page trust section checklist,trust section landing page|landing page proof checklist|CRO trust signals,Add proof and clarity,seo-landing-page-structure|conversion-focused-cta-checklist|content-visibility-checklist,Landing page trust section board with proof logos abstract reviews case study and security cards,1,no,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
